payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000088,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000088,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000089,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000089,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000090,falstaff.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
